달러-원,코스피,S&P 500,상해종합,비트코인,국고채권(3년),CD(91일물),UST2Y,DXY ,USDJPY,EURUSD,USDTWD,USDCNH
1176.5,2970.68,4596.42,3547.34,78165000,2.108,1.12,0.5,93.874,114.307,1.15554,27.824,6.3993
1168.6,3009.55,4551.68,3518.42,78917000,2.103,1.12,0.47,94.141,113.56,1.16686,27.7977,6.3872
1169.7,3025.49,4574.79,3562.31,79660000,2.017,1.1,0.47,93.363,113.55,1.16026,27.8045,6.397
1170,3049.08,4566.48,3597.64,80857000,2.044,1.1,0.48,93.864,114.025,1.16029,27.814,6.3823
1167.6,3020.54,4544.9,3609.86,81403000,1.947,1.09,0.45,93.962,113.93,1.16036,27.877,6.3791
1168.4,3006.16,4549.78,3582.6,76536000,1.919,1.09,0.4,93.835,113.606,1.16531,27.915,6.3777
1177.1,3007.33,4536.19,3594.78,74575000,1.889,1.09,0.41,93.622,113.975,1.16314,27.8828,6.3911
1177.2,3013.13,4519.63,3587,74121000,1.836,1.09,0.44,93.761,114.017,1.16538,27.927,6.3916
1174.2,3029.04,4486.46,3593.15,73807000,1.847,1.09,0.41,93.606,114.508,1.16409,27.864,6.383
1178.7,3006.68,4471.37,3568.14,74600000,1.866,1.09,0.36,93.782,114.06,1.1655,27.965,6.3995
1187.6,3015.06,4438.26,3572.37,74150000,1.875,1.08,0.37,93.97,114.285,1.15736,28.049,6.4353
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
